statement,Significant number 1 detected,Significant number 2 detected,equation generated,answer evaluated
subtract 4 from 33,4,33,y-x,29
subtract 21 from 24,21,24,y-x,3
subtract 12 from 6,12,6,y-x,-6
subtract 12 from 29,12,29,y-x,17
subtract 16 from 7,16,7,y-x,-9
subtract 2 from 74,2,74,y-x,72
subtract 55 from 99,55,99,y-x,44
subtract 26 from 98,26,98,y-x,72
subtract 21 from 37,21,37,y-x,16
subtract 27 from 18,27,18,y-x,-9
subtract 19 from 88,19,88,y-x,69
subtract 48 from 24,48,24,y-x,-24
subtract 77 from 58,77,58,y-x,-19
subtract 27 from 42,27,42,y-x,15
subtract 16 from 47,16,47,y-x,31
subtract 20 from 36,20,36,y-x,16
subtract 87 from 42,87,42,y-x,-45
subtract 32 from 55,32,55,y-x,23
subtract 40 from 82,40,82,y-x,42
subtract 78 from 90,78,90,y-x,12
subtract 95 from 57,95,57,y-x,-38
subtract 60 from 3,60,3,y-x,-57
subtract 83 from 63,83,63,y-x,-20
subtract 18 from 63,18,63,y-x,45
subtract 55 from 13,55,13,y-x,-42
subtract 90 from 88,90,88,y-x,-2
subtract 90 from 53,90,53,y-x,-37
subtract 85 from 79,85,79,y-x,-6
subtract 68 from 78,68,78,y-x,10
subtract 86 from 11,86,11,y-x,-75
subtract 23 from 33,23,33,y-x,10
subtract 85 from 90,85,90,y-x,5
subtract 14 from 98,14,98,y-x,84
subtract 80 from 12,80,12,y-x,-68
subtract 87 from 76,87,76,y-x,-11
subtract 86 from 16,86,16,y-x,-70
subtract 32 from 92,32,92,y-x,60
subtract 36 from 86,36,86,y-x,50
subtract 51 from 39,51,39,y-x,-12
subtract 95 from 51,95,51,y-x,-44
subtract 62 from 24,62,24,y-x,-38
subtract 9 from 88,9,88,y-x,79
subtract 88 from 83,88,83,y-x,-5
subtract 39 from 44,39,44,y-x,5
subtract 30 from 87,30,87,y-x,57
subtract 56 from 84,56,84,y-x,28
subtract 84 from 27,84,27,y-x,-57
subtract 28 from 16,28,16,y-x,-12
subtract 40 from 48,40,48,y-x,8
subtract 5 from 87,5,87,y-x,82
subtract 25 from 89,25,89,y-x,64
subtract 35 from 70,35,70,y-x,35
subtract 36 from 60,36,60,y-x,24
subtract 26 from 47,26,47,y-x,21
subtract 29 from 13,29,13,y-x,-16
subtract 97 from 98,97,98,y-x,1
subtract 52 from 21,52,21,y-x,-31
subtract 97 from 65,97,65,y-x,-32
subtract 18 from 34,18,34,y-x,16
subtract 34 from 57,34,57,y-x,23
subtract 14 from 35,14,35,y-x,21
subtract 83 from 24,83,24,y-x,-59
subtract 66 from 1,66,1,y-x,-65
subtract 23 from 81,23,81,y-x,58
subtract 18 from 57,18,57,y-x,39
subtract 23 from 46,23,46,y-x,23
subtract 52 from 83,52,83,y-x,31
subtract 92 from 9,92,9,y-x,-83
subtract 83 from 64,83,64,y-x,-19
subtract 82 from 13,82,13,y-x,-69
subtract 33 from 7,33,7,y-x,-26
subtract 19 from 32,19,32,y-x,13
subtract 48 from 31,48,31,y-x,-17
subtract 97 from 8,97,8,y-x,-89
subtract 60 from 21,60,21,y-x,-39
subtract 45 from 6,45,6,y-x,-39
subtract 25 from 74,25,74,y-x,49
subtract 37 from 58,37,58,y-x,21
subtract 61 from 21,61,21,y-x,-40
subtract 70 from 60,70,60,y-x,-10
subtract 5 from 64,5,64,y-x,59
subtract 87 from 52,87,52,y-x,-35
subtract 38 from 89,38,89,y-x,51
subtract 17 from 82,17,82,y-x,65
subtract 87 from 68,87,68,y-x,-19
subtract 53 from 4,53,4,y-x,-49
subtract 59 from 88,59,88,y-x,29
subtract 10 from 78,10,78,y-x,68
subtract 36 from 10,36,10,y-x,-26
subtract 86 from 84,86,84,y-x,-2
subtract 96 from 82,96,82,y-x,-14
subtract 12 from 15,12,15,y-x,3
subtract 71 from 31,71,31,y-x,-40
subtract 46 from 27,46,27,y-x,-19
subtract 14 from 79,14,79,y-x,65
subtract 10 from 27,10,27,y-x,17
subtract 47 from 85,47,85,y-x,38
subtract 36 from 17,36,17,y-x,-19
subtract 68 from 87,68,87,y-x,19
subtract 98 from 31,98,31,y-x,-67
subtract 40 from 46,40,46,y-x,6
subtract 38 from 64,38,64,y-x,26
subtract 50 from 92,50,92,y-x,42
subtract 79 from 40,79,40,y-x,-39
subtract 7 from 35,7,35,y-x,28
subtract 96 from 40,96,40,y-x,-56
subtract 39 from 66,39,66,y-x,27
subtract 7 from 16,7,16,y-x,9
subtract 67 from 48,67,48,y-x,-19
subtract 20 from 5,20,5,y-x,-15
subtract 53 from 66,53,66,y-x,13
subtract 2 from 82,2,82,y-x,80
subtract 93 from 16,93,16,y-x,-77
subtract 5 from 26,5,26,y-x,21
subtract 48 from 31,48,31,y-x,-17
subtract 96 from 64,96,64,y-x,-32
subtract 38 from 10,38,10,y-x,-28
subtract 59 from 21,59,21,y-x,-38
subtract 39 from 3,39,3,y-x,-36
subtract 82 from 61,82,61,y-x,-21
subtract 39 from 55,39,55,y-x,16
subtract 73 from 26,73,26,y-x,-47
subtract 90 from 32,90,32,y-x,-58
subtract 54 from 60,54,60,y-x,6
subtract 96 from 40,96,40,y-x,-56
subtract 26 from 37,26,37,y-x,11
subtract 80 from 12,80,12,y-x,-68
subtract 44 from 39,44,39,y-x,-5
subtract 77 from 5,77,5,y-x,-72
subtract 30 from 21,30,21,y-x,-9
subtract 67 from 18,67,18,y-x,-49
subtract 65 from 97,65,97,y-x,32
subtract 51 from 84,51,84,y-x,33
subtract 80 from 91,80,91,y-x,11
subtract 32 from 55,32,55,y-x,23
subtract 91 from 32,91,32,y-x,-59
subtract 51 from 54,51,54,y-x,3
subtract 14 from 32,14,32,y-x,18
subtract 56 from 64,56,64,y-x,8
subtract 19 from 6,19,6,y-x,-13
subtract 85 from 88,85,88,y-x,3
subtract 93 from 71,93,71,y-x,-22
subtract 34 from 8,34,8,y-x,-26
subtract 13 from 60,13,60,y-x,47
subtract 73 from 63,73,63,y-x,-10
subtract 85 from 41,85,41,y-x,-44
subtract 92 from 1,92,1,y-x,-91
subtract 52 from 48,52,48,y-x,-4
subtract 28 from 66,28,66,y-x,38
subtract 76 from 99,76,99,y-x,23
subtract 18 from 43,18,43,y-x,25
subtract 85 from 87,85,87,y-x,2
subtract 76 from 86,76,86,y-x,10
subtract 61 from 62,61,62,y-x,1
subtract 34 from 51,34,51,y-x,17
subtract 80 from 27,80,27,y-x,-53
subtract 79 from 15,79,15,y-x,-64
subtract 27 from 4,27,4,y-x,-23
subtract 38 from 69,38,69,y-x,31
subtract 77 from 38,77,38,y-x,-39
subtract 24 from 35,24,35,y-x,11
subtract 51 from 27,51,27,y-x,-24
subtract 64 from 72,64,72,y-x,8
subtract 5 from 57,5,57,y-x,52
subtract 69 from 84,69,84,y-x,15
subtract 32 from 29,32,29,y-x,-3
subtract 10 from 99,10,99,y-x,89
subtract 29 from 60,29,60,y-x,31
subtract 17 from 81,17,81,y-x,64
subtract 67 from 46,67,46,y-x,-21
subtract 1 from 16,1,16,y-x,15
subtract 97 from 53,97,53,y-x,-44
subtract 32 from 33,32,33,y-x,1
subtract 38 from 63,38,63,y-x,25
subtract 83 from 84,83,84,y-x,1
subtract 42 from 38,42,38,y-x,-4
subtract 84 from 51,84,51,y-x,-33
subtract 81 from 24,81,24,y-x,-57
subtract 68 from 90,68,90,y-x,22
subtract 30 from 70,30,70,y-x,40
subtract 74 from 73,74,73,y-x,-1
subtract 90 from 80,90,80,y-x,-10
subtract 72 from 98,72,98,y-x,26
subtract 77 from 64,77,64,y-x,-13
subtract 7 from 82,7,82,y-x,75
subtract 75 from 34,75,34,y-x,-41
subtract 43 from 92,43,92,y-x,49
subtract 86 from 60,86,60,y-x,-26
subtract 24 from 81,24,81,y-x,57
subtract 31 from 51,31,51,y-x,20
subtract 33 from 71,33,71,y-x,38
subtract 35 from 79,35,79,y-x,44
subtract 3 from 99,3,99,y-x,96
subtract 53 from 57,53,57,y-x,4
subtract 60 from 74,60,74,y-x,14
subtract 64 from 58,64,58,y-x,-6
subtract 98 from 28,98,28,y-x,-70
subtract 27 from 60,27,60,y-x,33
subtract 35 from 14,35,14,y-x,-21
subtract 72 from 66,72,66,y-x,-6
subtract 40 from 23,40,23,y-x,-17
subtract 27 from 16,27,16,y-x,-11
subtract 97 from 23,97,23,y-x,-74
subtract 94 from 82,94,82,y-x,-12
subtract 59 from 99,59,99,y-x,40
subtract 24 from 95,24,95,y-x,71
subtract 89 from 55,89,55,y-x,-34
subtract 26 from 9,26,9,y-x,-17
subtract 61 from 32,61,32,y-x,-29
subtract 28 from 16,28,16,y-x,-12
subtract 33 from 69,33,69,y-x,36
subtract 21 from 44,21,44,y-x,23
subtract 14 from 81,14,81,y-x,67
subtract 51 from 30,51,30,y-x,-21
subtract 27 from 39,27,39,y-x,12
subtract 35 from 42,35,42,y-x,7
subtract 78 from 36,78,36,y-x,-42
subtract 49 from 63,49,63,y-x,14
subtract 70 from 9,70,9,y-x,-61
subtract 18 from 61,18,61,y-x,43
subtract 12 from 14,12,14,y-x,2
subtract 41 from 60,41,60,y-x,19
subtract 4 from 88,4,88,y-x,84
subtract 13 from 57,13,57,y-x,44
subtract 24 from 72,24,72,y-x,48
subtract 59 from 65,59,65,y-x,6
subtract 66 from 31,66,31,y-x,-35
subtract 12 from 94,12,94,y-x,82
subtract 26 from 15,26,15,y-x,-11
subtract 62 from 33,62,33,y-x,-29
subtract 71 from 51,71,51,y-x,-20
subtract 12 from 1,12,1,y-x,-11
subtract 32 from 87,32,87,y-x,55
subtract 40 from 5,40,5,y-x,-35
subtract 66 from 86,66,86,y-x,20
subtract 44 from 89,44,89,y-x,45
subtract 92 from 38,92,38,y-x,-54
subtract 23 from 51,23,51,y-x,28
subtract 14 from 82,14,82,y-x,68
subtract 20 from 12,20,12,y-x,-8
subtract 92 from 70,92,70,y-x,-22
subtract 35 from 95,35,95,y-x,60
subtract 78 from 81,78,81,y-x,3
subtract 95 from 96,95,96,y-x,1
subtract 87 from 77,87,77,y-x,-10
subtract 76 from 63,76,63,y-x,-13
subtract 5 from 8,5,8,y-x,3
subtract 25 from 89,25,89,y-x,64
subtract 95 from 20,95,20,y-x,-75
subtract 71 from 72,71,72,y-x,1
subtract 54 from 93,54,93,y-x,39
subtract 64 from 67,64,67,y-x,3
subtract 44 from 78,44,78,y-x,34
subtract 92 from 52,92,52,y-x,-40
subtract 91 from 42,91,42,y-x,-49
subtract 27 from 4,27,4,y-x,-23
subtract 20 from 72,20,72,y-x,52
subtract 16 from 18,16,18,y-x,2
subtract 92 from 68,92,68,y-x,-24
subtract 7 from 6,7,6,y-x,-1
subtract 24 from 23,24,23,y-x,-1
subtract 98 from 56,98,56,y-x,-42
subtract 96 from 99,96,99,y-x,3
subtract 2 from 99,2,99,y-x,97
subtract 75 from 29,75,29,y-x,-46
subtract 93 from 1,93,1,y-x,-92
subtract 75 from 50,75,50,y-x,-25
subtract 58 from 9,58,9,y-x,-49
subtract 62 from 24,62,24,y-x,-38
subtract 72 from 84,72,84,y-x,12
subtract 22 from 22,22,22,y-x,0
subtract 10 from 19,10,19,y-x,9
subtract 94 from 10,94,10,y-x,-84
subtract 93 from 35,93,35,y-x,-58
subtract 12 from 50,12,50,y-x,38
subtract 68 from 17,68,17,y-x,-51
subtract 14 from 38,14,38,y-x,24
subtract 12 from 60,12,60,y-x,48
subtract 27 from 81,27,81,y-x,54
subtract 38 from 83,38,83,y-x,45
subtract 27 from 89,27,89,y-x,62
subtract 40 from 66,40,66,y-x,26
subtract 40 from 3,40,3,y-x,-37
subtract 9 from 49,9,49,y-x,40
subtract 75 from 96,75,96,y-x,21
subtract 64 from 93,64,93,y-x,29
subtract 7 from 78,7,78,y-x,71
subtract 48 from 73,48,73,y-x,25
subtract 62 from 6,62,6,y-x,-56
subtract 53 from 1,53,1,y-x,-52
subtract 60 from 44,60,44,y-x,-16
subtract 68 from 22,68,22,y-x,-46
subtract 7 from 87,7,87,y-x,80
subtract 22 from 52,22,52,y-x,30
subtract 51 from 64,51,64,y-x,13
subtract 37 from 97,37,97,y-x,60
subtract 33 from 70,33,70,y-x,37
subtract 30 from 16,30,16,y-x,-14
subtract 58 from 30,58,30,y-x,-28
subtract 92 from 30,92,30,y-x,-62
subtract 55 from 86,55,86,y-x,31
subtract 89 from 93,89,93,y-x,4
subtract 16 from 96,16,96,y-x,80
subtract 37 from 79,37,79,y-x,42
subtract 81 from 51,81,51,y-x,-30
subtract 77 from 89,77,89,y-x,12
subtract 21 from 7,21,7,y-x,-14
subtract 40 from 25,40,25,y-x,-15
subtract 85 from 98,85,98,y-x,13
subtract 78 from 16,78,16,y-x,-62
subtract 4 from 37,4,37,y-x,33
subtract 44 from 58,44,58,y-x,14
subtract 99 from 60,99,60,y-x,-39
subtract 9 from 67,9,67,y-x,58
subtract 23 from 57,23,57,y-x,34
subtract 17 from 17,17,17,y-x,0
subtract 14 from 89,14,89,y-x,75
subtract 38 from 55,38,55,y-x,17
subtract 1 from 35,1,35,y-x,34
subtract 9 from 62,9,62,y-x,53
subtract 66 from 9,66,9,y-x,-57
subtract 25 from 16,25,16,y-x,-9
subtract 51 from 77,51,77,y-x,26
subtract 93 from 2,93,2,y-x,-91
subtract 78 from 40,78,40,y-x,-38
subtract 67 from 4,67,4,y-x,-63
subtract 31 from 72,31,72,y-x,41
subtract 56 from 3,56,3,y-x,-53
subtract 18 from 93,18,93,y-x,75
subtract 10 from 24,10,24,y-x,14
subtract 23 from 22,23,22,y-x,-1
subtract 63 from 11,63,11,y-x,-52
subtract 81 from 87,81,87,y-x,6
subtract 92 from 8,92,8,y-x,-84
subtract 96 from 75,96,75,y-x,-21
subtract 74 from 22,74,22,y-x,-52
subtract 13 from 93,13,93,y-x,80
subtract 67 from 38,67,38,y-x,-29
subtract 2 from 21,2,21,y-x,19
subtract 2 from 22,2,22,y-x,20
subtract 18 from 35,18,35,y-x,17
subtract 41 from 59,41,59,y-x,18
subtract 60 from 50,60,50,y-x,-10
subtract 13 from 19,13,19,y-x,6
subtract 20 from 98,20,98,y-x,78
subtract 7 from 48,7,48,y-x,41
subtract 71 from 67,71,67,y-x,-4
subtract 92 from 1,92,1,y-x,-91
subtract 48 from 85,48,85,y-x,37
subtract 37 from 70,37,70,y-x,33
subtract 65 from 12,65,12,y-x,-53
subtract 34 from 78,34,78,y-x,44
subtract 7 from 81,7,81,y-x,74
subtract 79 from 96,79,96,y-x,17
subtract 86 from 46,86,46,y-x,-40
subtract 61 from 20,61,20,y-x,-41
subtract 91 from 91,91,91,y-x,0
subtract 80 from 92,80,92,y-x,12
subtract 71 from 83,71,83,y-x,12
subtract 42 from 5,42,5,y-x,-37
subtract 52 from 43,52,43,y-x,-9
subtract 5 from 7,5,7,y-x,2
subtract 32 from 95,32,95,y-x,63
subtract 89 from 44,89,44,y-x,-45
subtract 3 from 38,3,38,y-x,35
subtract 19 from 32,19,32,y-x,13
subtract 66 from 92,66,92,y-x,26
subtract 72 from 23,72,23,y-x,-49
subtract 88 from 5,88,5,y-x,-83
subtract 13 from 26,13,26,y-x,13
subtract 20 from 66,20,66,y-x,46
subtract 71 from 92,71,92,y-x,21
subtract 15 from 86,15,86,y-x,71
subtract 62 from 95,62,95,y-x,33
subtract 7 from 1,7,1,y-x,-6
subtract 44 from 98,44,98,y-x,54
subtract 96 from 43,96,43,y-x,-53
subtract 29 from 66,29,66,y-x,37
subtract 35 from 40,35,40,y-x,5
subtract 4 from 80,4,80,y-x,76
subtract 70 from 95,70,95,y-x,25
subtract 44 from 79,44,79,y-x,35
subtract 11 from 74,11,74,y-x,63
subtract 94 from 74,94,74,y-x,-20
subtract 50 from 47,50,47,y-x,-3
subtract 70 from 39,70,39,y-x,-31
subtract 17 from 35,17,35,y-x,18
subtract 73 from 19,73,19,y-x,-54
subtract 21 from 20,21,20,y-x,-1
subtract 67 from 41,67,41,y-x,-26
subtract 96 from 91,96,91,y-x,-5
subtract 32 from 38,32,38,y-x,6
subtract 16 from 1,16,1,y-x,-15
subtract 47 from 76,47,76,y-x,29
subtract 65 from 36,65,36,y-x,-29
subtract 59 from 34,59,34,y-x,-25
subtract 38 from 27,38,27,y-x,-11
subtract 85 from 33,85,33,y-x,-52
subtract 30 from 88,30,88,y-x,58
subtract 8 from 44,8,44,y-x,36
subtract 45 from 68,45,68,y-x,23
subtract 96 from 53,96,53,y-x,-43
subtract 92 from 17,92,17,y-x,-75
subtract 87 from 29,87,29,y-x,-58
subtract 36 from 96,36,96,y-x,60
subtract 39 from 20,39,20,y-x,-19
subtract 61 from 88,61,88,y-x,27
subtract 30 from 89,30,89,y-x,59
subtract 50 from 53,50,53,y-x,3
subtract 64 from 21,64,21,y-x,-43
subtract 25 from 52,25,52,y-x,27
subtract 8 from 8,8,8,y-x,0
subtract 35 from 80,35,80,y-x,45
subtract 19 from 28,19,28,y-x,9
subtract 88 from 98,88,98,y-x,10
subtract 5 from 35,5,35,y-x,30
subtract 94 from 14,94,14,y-x,-80
subtract 57 from 17,57,17,y-x,-40
subtract 85 from 84,85,84,y-x,-1
subtract 56 from 85,56,85,y-x,29
subtract 4 from 31,4,31,y-x,27
subtract 89 from 68,89,68,y-x,-21
subtract 73 from 84,73,84,y-x,11
subtract 36 from 19,36,19,y-x,-17
subtract 72 from 52,72,52,y-x,-20
subtract 47 from 81,47,81,y-x,34
subtract 95 from 34,95,34,y-x,-61
subtract 17 from 28,17,28,y-x,11
subtract 79 from 6,79,6,y-x,-73
subtract 48 from 46,48,46,y-x,-2
subtract 29 from 46,29,46,y-x,17
subtract 93 from 79,93,79,y-x,-14
subtract 85 from 23,85,23,y-x,-62
subtract 61 from 8,61,8,y-x,-53
subtract 55 from 61,55,61,y-x,6
subtract 90 from 56,90,56,y-x,-34
subtract 38 from 78,38,78,y-x,40
subtract 92 from 68,92,68,y-x,-24
subtract 8 from 56,8,56,y-x,48
subtract 2 from 37,2,37,y-x,35
subtract 2 from 70,2,70,y-x,68
subtract 58 from 72,58,72,y-x,14
subtract 48 from 1,48,1,y-x,-47
subtract 99 from 85,99,85,y-x,-14
subtract 2 from 12,2,12,y-x,10
subtract 3 from 82,3,82,y-x,79
subtract 52 from 31,52,31,y-x,-21
subtract 50 from 31,50,31,y-x,-19
subtract 80 from 30,80,30,y-x,-50
subtract 99 from 83,99,83,y-x,-16
subtract 65 from 18,65,18,y-x,-47
subtract 15 from 57,15,57,y-x,42
subtract 74 from 86,74,86,y-x,12
subtract 14 from 70,14,70,y-x,56
subtract 95 from 27,95,27,y-x,-68
subtract 30 from 18,30,18,y-x,-12
subtract 40 from 42,40,42,y-x,2
subtract 82 from 67,82,67,y-x,-15
subtract 85 from 2,85,2,y-x,-83
subtract 50 from 56,50,56,y-x,6
subtract 54 from 73,54,73,y-x,19
subtract 20 from 8,20,8,y-x,-12
subtract 96 from 87,96,87,y-x,-9
subtract 26 from 86,26,86,y-x,60
subtract 8 from 32,8,32,y-x,24
subtract 86 from 49,86,49,y-x,-37
subtract 67 from 47,67,47,y-x,-20
subtract 73 from 2,73,2,y-x,-71
subtract 16 from 16,16,16,y-x,0
subtract 64 from 64,64,64,y-x,0
subtract 88 from 65,88,65,y-x,-23
subtract 58 from 57,58,57,y-x,-1
subtract 9 from 7,9,7,y-x,-2
subtract 43 from 6,43,6,y-x,-37
subtract 53 from 48,53,48,y-x,-5
subtract 19 from 96,19,96,y-x,77
subtract 75 from 99,75,99,y-x,24
subtract 71 from 39,71,39,y-x,-32
subtract 26 from 52,26,52,y-x,26
subtract 61 from 55,61,55,y-x,-6
subtract 15 from 94,15,94,y-x,79
subtract 74 from 39,74,39,y-x,-35
subtract 84 from 54,84,54,y-x,-30
subtract 9 from 25,9,25,y-x,16
subtract 36 from 33,36,33,y-x,-3
subtract 59 from 88,59,88,y-x,29
subtract 61 from 36,61,36,y-x,-25
subtract 24 from 71,24,71,y-x,47
subtract 94 from 37,94,37,y-x,-57
subtract 42 from 2,42,2,y-x,-40
subtract 79 from 8,79,8,y-x,-71
subtract 37 from 77,37,77,y-x,40
subtract 80 from 12,80,12,y-x,-68
subtract 21 from 80,21,80,y-x,59
subtract 83 from 42,83,42,y-x,-41
subtract 29 from 23,29,23,y-x,-6
subtract 15 from 42,15,42,y-x,27
subtract 75 from 30,75,30,y-x,-45
subtract 19 from 63,19,63,y-x,44
subtract 48 from 63,48,63,y-x,15
subtract 21 from 65,21,65,y-x,44
subtract 73 from 99,73,99,y-x,26
subtract 21 from 88,21,88,y-x,67
subtract 57 from 25,57,25,y-x,-32
subtract 55 from 54,55,54,y-x,-1
subtract 72 from 62,72,62,y-x,-10
subtract 67 from 30,67,30,y-x,-37
subtract 49 from 18,49,18,y-x,-31
subtract 28 from 6,28,6,y-x,-22
subtract 42 from 79,42,79,y-x,37
subtract 28 from 83,28,83,y-x,55
subtract 99 from 80,99,80,y-x,-19
subtract 35 from 45,35,45,y-x,10
subtract 65 from 97,65,97,y-x,32
subtract 31 from 12,31,12,y-x,-19
subtract 13 from 65,13,65,y-x,52
subtract 72 from 2,72,2,y-x,-70
subtract 70 from 68,70,68,y-x,-2
subtract 92 from 6,92,6,y-x,-86
subtract 4 from 98,4,98,y-x,94
subtract 53 from 37,53,37,y-x,-16
subtract 49 from 68,49,68,y-x,19
subtract 33 from 71,33,71,y-x,38
subtract 17 from 83,17,83,y-x,66
subtract 82 from 51,82,51,y-x,-31
subtract 22 from 2,22,2,y-x,-20
subtract 73 from 62,73,62,y-x,-11
subtract 62 from 10,62,10,y-x,-52
subtract 14 from 50,14,50,y-x,36
subtract 82 from 81,82,81,y-x,-1
subtract 52 from 78,52,78,y-x,26
subtract 47 from 41,47,41,y-x,-6
subtract 43 from 92,43,92,y-x,49
subtract 75 from 64,75,64,y-x,-11
subtract 5 from 42,5,42,y-x,37
subtract 71 from 94,71,94,y-x,23
subtract 62 from 67,62,67,y-x,5
subtract 72 from 22,72,22,y-x,-50
subtract 25 from 24,25,24,y-x,-1
subtract 48 from 22,48,22,y-x,-26
subtract 48 from 48,48,48,y-x,0
subtract 83 from 44,83,44,y-x,-39
subtract 35 from 29,35,29,y-x,-6
subtract 13 from 91,13,91,y-x,78
subtract 13 from 70,13,70,y-x,57
subtract 69 from 62,69,62,y-x,-7
subtract 85 from 71,85,71,y-x,-14
subtract 94 from 81,94,81,y-x,-13
subtract 16 from 43,16,43,y-x,27
subtract 80 from 51,80,51,y-x,-29
subtract 8 from 1,8,1,y-x,-7
subtract 47 from 83,47,83,y-x,36
subtract 97 from 61,97,61,y-x,-36
subtract 92 from 65,92,65,y-x,-27
subtract 7 from 43,7,43,y-x,36
subtract 36 from 1,36,1,y-x,-35
subtract 4 from 95,4,95,y-x,91
subtract 12 from 51,12,51,y-x,39
subtract 58 from 31,58,31,y-x,-27
subtract 98 from 12,98,12,y-x,-86
subtract 98 from 44,98,44,y-x,-54
subtract 66 from 37,66,37,y-x,-29
subtract 21 from 23,21,23,y-x,2
subtract 17 from 72,17,72,y-x,55
subtract 93 from 13,93,13,y-x,-80
subtract 45 from 15,45,15,y-x,-30
subtract 29 from 9,29,9,y-x,-20
subtract 56 from 11,56,11,y-x,-45
subtract 79 from 85,79,85,y-x,6
subtract 71 from 23,71,23,y-x,-48
subtract 93 from 32,93,32,y-x,-61
subtract 36 from 8,36,8,y-x,-28
subtract 51 from 59,51,59,y-x,8
subtract 77 from 55,77,55,y-x,-22
subtract 35 from 96,35,96,y-x,61
subtract 58 from 20,58,20,y-x,-38
subtract 35 from 98,35,98,y-x,63
subtract 31 from 62,31,62,y-x,31
subtract 50 from 25,50,25,y-x,-25
subtract 55 from 60,55,60,y-x,5
subtract 25 from 86,25,86,y-x,61
subtract 77 from 90,77,90,y-x,13
subtract 12 from 97,12,97,y-x,85
subtract 84 from 32,84,32,y-x,-52
subtract 77 from 72,77,72,y-x,-5
subtract 95 from 47,95,47,y-x,-48
subtract 62 from 41,62,41,y-x,-21
subtract 11 from 6,11,6,y-x,-5
subtract 75 from 51,75,51,y-x,-24
subtract 85 from 68,85,68,y-x,-17
subtract 48 from 97,48,97,y-x,49
subtract 23 from 17,23,17,y-x,-6
subtract 37 from 38,37,38,y-x,1
subtract 21 from 2,21,2,y-x,-19
subtract 84 from 61,84,61,y-x,-23
subtract 67 from 89,67,89,y-x,22
subtract 72 from 76,72,76,y-x,4
subtract 5 from 59,5,59,y-x,54
subtract 47 from 8,47,8,y-x,-39
subtract 99 from 6,99,6,y-x,-93
subtract 81 from 51,81,51,y-x,-30
subtract 77 from 72,77,72,y-x,-5
subtract 66 from 51,66,51,y-x,-15
subtract 90 from 11,90,11,y-x,-79
subtract 67 from 61,67,61,y-x,-6
subtract 99 from 42,99,42,y-x,-57
subtract 41 from 25,41,25,y-x,-16
subtract 37 from 36,37,36,y-x,-1
subtract 47 from 74,47,74,y-x,27
subtract 33 from 50,33,50,y-x,17
subtract 75 from 36,75,36,y-x,-39
subtract 19 from 91,19,91,y-x,72
subtract 43 from 45,43,45,y-x,2
subtract 94 from 61,94,61,y-x,-33
subtract 43 from 11,43,11,y-x,-32
subtract 60 from 61,60,61,y-x,1
subtract 17 from 39,17,39,y-x,22
subtract 59 from 32,59,32,y-x,-27
subtract 1 from 64,1,64,y-x,63
subtract 13 from 2,13,2,y-x,-11
subtract 99 from 61,99,61,y-x,-38
subtract 30 from 39,30,39,y-x,9
subtract 3 from 13,3,13,y-x,10
subtract 24 from 87,24,87,y-x,63
subtract 2 from 80,2,80,y-x,78
subtract 23 from 97,23,97,y-x,74
subtract 18 from 39,18,39,y-x,21
subtract 63 from 57,63,57,y-x,-6
subtract 76 from 78,76,78,y-x,2
subtract 98 from 35,98,35,y-x,-63
subtract 98 from 90,98,90,y-x,-8
subtract 44 from 97,44,97,y-x,53
subtract 52 from 91,52,91,y-x,39
subtract 88 from 65,88,65,y-x,-23
subtract 67 from 34,67,34,y-x,-33
subtract 63 from 40,63,40,y-x,-23
subtract 51 from 70,51,70,y-x,19
subtract 36 from 77,36,77,y-x,41
